Jahr,Reihenfolge,Reihenfolge nur Strophen,Strophe?,Künstler,Strophentitel,Kwartal,Startzeit,Startzeit (s),Startzeit (m),Dauer (s),Dauer (m),Sprache,Sprache gruppiert,Sprache gruppiert 2,Künstlerische Relevanz,Musikalische Härte,BPM (Start),Tanzbarkeit,Verblödungsfaktor,Nervofantigkeit,Weirdness,Nationalität,Nationalität gruppiert,Kontinent,Baujahr,Baujahr Jahrzehnt,Alter in Jahren,Takt,Vorschlag von?,Biermusik?,Relevanz x Dauer,Härte x Dauer,BPM x Dauer,Tanzbarkeit x Dauer,Verblödungsfaktor x Dauer,Nervofantigkeit x Dauer,Weirdness x Dauer
2022,39,,FALSE,Poet from Beavis and Butthead,And then my friend you die (extended),,81:39,4899,81.65,19,0.32,Englisch,Englisch,Englisch,,,,,,,,USA,USA,Nordamerika,1995,1990er,27,,Mad/Ste,,0,0,0,0,0,0,0
2023,1,1,TRUE,DetoXDan feat. Achim,Hörerwarnung,,00:00,0,0.00,74,1.23,Deutsch,Deutsch,Deutsch und Schweizerdeutsch,6,5,,3,5,4,4,Deutschland,Deutschland,Europa,2022,2020er,1,,,,444,370,0,222,370,296,296
2023,2,,FALSE,Die drei ???,Und jetzt ein Bier,,01:14,74,1.23,5,0.08,Deutsch,Deutsch,Deutsch und Schweizerdeutsch,,,,,,,,USA,USA,Nordamerika,1975,1970er,48,,,,0,0,0,0,0,0,0
2023,3,2,TRUE,Doja Cat,MOOO!,,01:19,79,1.32,277,4.62,Englisch,Englisch,Englisch,6,2,,6,6,6,7,USA,USA,Nordamerika,2018,2010er,5,,,,1662,554,0,1662,1662,1662,1939
2023,4,,FALSE,Achim,Suffen bis zum Umfallen,,05:56,356,5.93,5,0.08,Deutsch,Deutsch,Deutsch und Schweizerdeutsch,,,,,,,,Deutschland,Deutschland,Europa,2016,2010er,7,,,,0,0,0,0,0,0,0
2023,5,3,TRUE,Electric Callboy,Hurrikan,,06:01,361,6.02,97,1.62,Mehrere,Andere,Andere,4,9,,4,7,8,7,Deutschland,Deutschland,Europa,2022,2020er,1,,,,388,873,0,388,679,776,679
2023,6,,FALSE,Helmut Körschgen,Wär ich doch lieber Schlagersänger geworden,,07:38,458,7.63,4,0.07,Deutsch,Deutsch,Deutsch und Schweizerdeutsch,,,,,,,,Deutschland,Deutschland,Europa,1994,1990er,29,,,,0,0,0,0,0,0,0
2023,7,4,TRUE,Fereydoun Farokhzad,Ashyaneh,,07:42,462,7.70,324,5.40,Persisch,Andere,Andere,7,3,,7,3,3,3,Iran,Rest der Welt,Asien,1975,1970er,48,,,,2268,972,0,2268,972,972,972
2023,8,,FALSE,Salvatore Ganacci,Try to relax your anus,,13:06,786,13.10,9,0.15,Englisch,Englisch,Englisch,,,,,,,,Schweden,Europa Rest,Europa,2017,2010er,6,,,,0,0,0,0,0,0,0
2023,9,5,TRUE,MC Eichel,Ich haue meinen Penis mit der Eichel auf ein Holzbrett,,13:15,795,13.25,156,2.60,Deutsch,Deutsch,Deutsch und Schweizerdeutsch,1,5,,5,10,6,7,Deutschland,Deutschland,Europa,2009,2000er,14,,,,156,780,0,780,1560,936,1092
